CountryCode,Conference,Year,Delegates
KAZ,COP13,2007,5
KEN,COP13,2007,22
KIR,COP13,2007,5
KWT,COP13,2007,17
KGZ,COP13,2007,3
LAO,COP13,2007,4
LVA,COP13,2007,6
LBN,COP13,2007,2
LSO,COP13,2007,5
LBR,COP13,2007,14
LBY,COP13,2007,9
LIE,COP13,2007,1
LTU,COP13,2007,5
LUX,COP13,2007,7
MKD,COP13,2007,5
MDG,COP13,2007,12
MWI,COP13,2007,17
MYS,COP13,2007,48
MDV,COP13,2007,20
MLI,COP13,2007,10
MLT,COP13,2007,3
MHL,COP13,2007,0
MRT,COP13,2007,3
MUS,COP13,2007,2
MEX,COP13,2007,35
FSM,COP13,2007,11
MCO,COP13,2007,3
MNG,COP13,2007,3
MNE,COP13,2007,2
MAR,COP13,2007,12
MOZ,COP13,2007,8
MMR,COP13,2007,2
NAM,COP13,2007,20
NRU,COP13,2007,3
NPL,COP13,2007,10
NLD,COP13,2007,33
NZL,COP13,2007,26
NIC,COP13,2007,2
NER,COP13,2007,7
NGA,COP13,2007,43
NOR,COP13,2007,54
OMN,COP13,2007,9
PAK,COP13,2007,16
PLW,COP13,2007,8
PAN,COP13,2007,9
PNG,COP13,2007,48
PRY,COP13,2007,10
PER,COP13,2007,18
PHL,COP13,2007,86
POL,COP13,2007,35
PRT,COP13,2007,53
QAT,COP13,2007,12
KOR,COP13,2007,81
MDA,COP13,2007,1
ROM,COP13,2007,10
RUS,COP13,2007,45
RWA,COP13,2007,3
KNA,COP13,2007,2
LCA,COP13,2007,2
VCT,COP13,2007,1
WSM,COP13,2007,11
SMR,COP13,2007,0
STP,COP13,2007,6
SAU,COP13,2007,25
SEN,COP13,2007,7
SRB,COP13,2007,13
SYC,COP13,2007,9
SLE,COP13,2007,4
SGP,COP13,2007,61
SVK,COP13,2007,6
SVN,COP13,2007,15
SLB,COP13,2007,14
SOM,COP13,2007,0
ZAF,COP13,2007,43
ESP,COP13,2007,45
LKA,COP13,2007,7
SDN,COP13,2007,14
SUR,COP13,2007,5
SWZ,COP13,2007,2
SWE,COP13,2007,52
CHE,COP13,2007,15
SYR,COP13,2007,3
TJK,COP13,2007,6
THA,COP13,2007,53
TMP,COP13,2007,24
TGO,COP13,2007,9
TON,COP13,2007,8
TTO,COP13,2007,3
TUN,COP13,2007,18
TUR,COP13,2007,24
TKM,COP13,2007,1
TUV,COP13,2007,10
UGA,COP13,2007,20
UKR,COP13,2007,24
ARE,COP13,2007,17
GBR,COP13,2007,62
TZA,COP13,2007,30
USA,COP13,2007,136
URY,COP13,2007,3
UZB,COP13,2007,1
VUT,COP13,2007,4
VEN,COP13,2007,16
VNM,COP13,2007,7
YEM,COP13,2007,7
ZMB,COP13,2007,22
ZWE,COP13,2007,4
AFG,COP14,2008,2
ALB,COP14,2008,6
DZA,COP14,2008,26
AGO,COP14,2008,8
ATG,COP14,2008,6
ARG,COP14,2008,10
ARM,COP14,2008,2
AUS,COP14,2008,40
AUT,COP14,2008,34
AZE,COP14,2008,3
BHS,COP14,2008,4
BHR,COP14,2008,0
BGD,COP14,2008,18
BRB,COP14,2008,5
BLR,COP14,2008,7
BEL,COP14,2008,46
BLZ,COP14,2008,3
BEN,COP14,2008,8
BTN,COP14,2008,6
BOL,COP14,2008,8
BIH,COP14,2008,4
BWA,COP14,2008,7
BRA,COP14,2008,162
BRN,COP14,2008,3
BGR,COP14,2008,4
BFA,COP14,2008,6
BDI,COP14,2008,0
CPV,COP14,2008,4
KHM,COP14,2008,6
CMR,COP14,2008,4
CAN,COP14,2008,46
CAF,COP14,2008,2
TCD,COP14,2008,3
CHL,COP14,2008,9
CHN,COP14,2008,53
COL,COP14,2008,7
COM,COP14,2008,1
COG,COP14,2008,2
COK,COP14,2008,7
CRI,COP14,2008,10
CIV,COP14,2008,1
HRV,COP14,2008,7
CUB,COP14,2008,6
CYP,COP14,2008,6
CZE,COP14,2008,37
ZAR,COP14,2008,38
DNK,COP14,2008,206
DJI,COP14,2008,2
DMA,COP14,2008,3
DOM,COP14,2008,3
ECU,COP14,2008,17
EGY,COP14,2008,18
SLV,COP14,2008,7
GNQ,COP14,2008,2
ERI,COP14,2008,2
EST,COP14,2008,5
ETH,COP14,2008,4
FJI,COP14,2008,2
FIN,COP14,2008,53
FRA,COP14,2008,162
GAB,COP14,2008,12
GMB,COP14,2008,4
GEO,COP14,2008,7
DEU,COP14,2008,116
GHA,COP14,2008,11
GRC,COP14,2008,24
GRD,COP14,2008,3
GTM,COP14,2008,32
GIN,COP14,2008,5
GNB,COP14,2008,3
GUY,COP14,2008,5
HTI,COP14,2008,2
HND,COP14,2008,5
HUN,COP14,2008,11
ISL,COP14,2008,10
IND,COP14,2008,25
IDN,COP14,2008,123
IRN,COP14,2008,27
IRQ,COP14,2008,0
IRL,COP14,2008,34
ISR,COP14,2008,29
ITA,COP14,2008,50
JAM,COP14,2008,3
JPN,COP14,2008,85
JOR,COP14,2008,2
KAZ,COP14,2008,15
KEN,COP14,2008,24
KIR,COP14,2008,3
KWT,COP14,2008,14
KGZ,COP14,2008,3
LAO,COP14,2008,9
LVA,COP14,2008,7
LBN,COP14,2008,2
LSO,COP14,2008,5
LBR,COP14,2008,13
LBY,COP14,2008,3
LIE,COP14,2008,3
LTU,COP14,2008,10
LUX,COP14,2008,3
MKD,COP14,2008,6
MDG,COP14,2008,22
MWI,COP14,2008,14
MYS,COP14,2008,27
MDV,COP14,2008,6
MLI,COP14,2008,12
MLT,COP14,2008,6
MHL,COP14,2008,6
MRT,COP14,2008,2
